id,startDate,endDate,carId,totalPrice,userUID
1,2023-05-27,2023-06-04,34,3400,user30
2,2024-04-21,2024-04-28,100,6510,user87
3,2023-02-07,2023-02-08,53,309,user94
4,2023-12-07,2023-12-12,56,3340,user79
5,2024-01-14,2024-01-19,20,4705,user71
6,2023-06-17,2023-06-20,7,2310,user55
7,2024-02-05,2024-02-10,78,2415,user22
8,2024-07-08,2024-07-17,53,2781,user36
9,2024-05-20,2024-05-21,55,508,user37
10,2023-11-16,2023-11-23,70,3829,user84
11,2023-12-29,2024-01-04,79,5382,user18
12,2024-04-27,2024-05-06,98,6696,user10
13,2024-05-27,2024-05-31,94,1676,user26
14,2023-12-31,2024-01-02,78,966,user90
15,2023-08-04,2023-08-14,64,5260,user44
16,2023-08-07,2023-08-17,2,3720,user88
17,2023-09-02,2023-09-06,80,1524,user36
18,2024-02-28,2024-03-07,34,3400,user65
19,2024-01-10,2024-01-20,54,9120,user8
20,2024-08-08,2024-08-10,18,1790,user35
21,2024-08-19,2024-08-21,76,1868,user68
22,2023-01-31,2023-02-01,44,818,user16
23,2023-05-07,2023-05-08,19,986,user38
24,2023-08-26,2023-08-31,59,3870,user56
25,2023-06-05,2023-06-14,64,4734,user1
26,2023-07-22,2023-07-29,3,6706,user34
27,2023-11-29,2023-12-06,88,2443,user67
28,2023-04-17,2023-04-24,73,6097,user27
29,2024-01-27,2024-02-06,81,8340,user73
30,2023-09-24,2023-10-01,59,5418,user91
31,2023-04-05,2023-04-09,15,3056,user54
32,2023-03-02,2023-03-09,14,5887,user20
33,2023-08-29,2023-09-06,7,6160,user43
34,2024-02-29,2024-03-02,1,1740,user43
35,2023-05-25,2023-05-30,30,1920,user13
36,2023-11-21,2023-11-30,64,4734,user58
37,2023-08-23,2023-08-26,74,2625,user97
38,2024-04-29,2024-05-03,44,3272,user30
39,2024-01-17,2024-01-24,11,2296,user76
40,2024-05-30,2024-06-08,41,5814,user29
41,2023-03-01,2023-03-03,67,1964,user13
42,2023-03-15,2023-03-24,100,8370,user16
43,2024-07-18,2024-07-20,89,1050,user84
44,2023-01-18,2023-01-24,82,5094,user99
45,2024-03-03,2024-03-10,16,4858,user88
46,2023-10-28,2023-10-30,43,1500,user37
47,2024-05-14,2024-05-22,82,6792,user77
48,2024-02-19,2024-02-28,82,7641,user57
49,2024-03-01,2024-03-08,41,4522,user38
50,2023-12-07,2023-12-09,11,656,user53
51,2023-09-06,2023-09-10,42,2528,user75
52,2023-11-25,2023-12-03,77,5416,user72
53,2023-09-02,2023-09-09,73,6097,user70
54,2023-01-13,2023-01-23,76,9340,user76
55,2024-08-02,2024-08-07,28,2640,user97
56,2023-11-29,2023-12-02,99,2286,user78
57,2023-08-17,2023-08-25,15,6112,user83
58,2023-01-31,2023-02-07,99,5334,user40
59,2023-12-15,2023-12-22,12,6909,user92
60,2023-03-23,2023-03-27,80,1524,user42
61,2024-08-19,2024-08-28,58,3330,user34
62,2024-01-31,2024-02-07,45,6657,user24
63,2023-10-10,2023-10-14,89,2100,user37
64,2023-09-02,2023-09-04,92,1366,user1
65,2024-03-16,2024-03-23,2,2604,user19
66,2023-02-04,2023-02-05,73,871,user34
67,2024-04-15,2024-04-20,47,3570,user4
68,2023-01-14,2023-01-24,82,8490,user75
69,2023-05-17,2023-05-27,70,5470,user11
70,2023-05-02,2023-05-05,20,2823,user4
71,2023-02-05,2023-02-06,31,784,user46
72,2023-11-13,2023-11-23,52,4840,user66
73,2023-03-19,2023-03-29,82,8490,user35
74,2023-09-19,2023-09-23,90,3132,user11
75,2023-11-04,2023-11-12,37,7792,user46
76,2023-01-20,2023-01-22,39,1030,user78
77,2024-04-24,2024-04-26,91,1234,user13
78,2023-11-17,2023-11-22,65,1950,user11
79,2023-10-03,2023-10-13,44,8180,user55
80,2023-08-18,2023-08-24,11,1968,user93
81,2023-11-24,2023-11-28,60,3240,user9
82,2023-08-04,2023-08-05,10,954,user34
83,2023-07-05,2023-07-07,72,1808,user95
84,2024-06-11,2024-06-15,17,1508,user95
85,2024-05-30,2024-06-02,76,2802,user73
86,2023-05-23,2023-05-29,32,4110,user30
87,2023-07-18,2023-07-21,66,2892,user79
88,2023-02-21,2023-02-27,23,5478,user87
89,2023-12-02,2023-12-05,40,1746,user25
90,2024-06-04,2024-06-09,94,2095,user13
91,2023-02-04,2023-02-08,45,3804,user20
92,2023-07-05,2023-07-13,90,6264,user94
93,2024-05-16,2024-05-23,95,2527,user81
94,2024-06-05,2024-06-11,63,1944,user86
95,2023-04-03,2023-04-04,67,982,user73
96,2023-03-04,2023-03-09,58,1850,user92
97,2023-08-15,2023-08-24,7,6930,user99
98,2023-10-10,2023-10-14,88,1396,user82
99,2024-01-25,2024-02-01,95,2527,user71
100,2023-01-23,2023-01-30,9,4179,user64
101,2024-01-29,2024-02-01,53,927,user41
102,2023-12-15,2023-12-24,37,8766,user21
103,2024-08-23,2024-08-30,96,5152,user1
104,2023-11-22,2023-11-25,69,936,user27
105,2024-03-15,2024-03-19,59,3096,user80
106,2023-03-14,2023-03-23,50,6966,user26
107,2023-09-10,2023-09-20,11,3280,user68
108,2024-02-28,2024-03-03,36,3396,user76
109,2023-02-06,2023-02-12,31,4704,user61
110,2023-09-14,2023-09-18,22,1584,user35
111,2023-03-03,2023-03-05,24,1052,user10
112,2024-05-15,2024-05-23,14,6728,user71
113,2023-12-01,2023-12-11,53,3090,user30
114,2024-07-29,2024-08-04,75,4206,user79
115,2023-01-23,2023-01-27,65,1560,user16
116,2024-04-15,2024-04-16,19,986,user70
117,2023-11-04,2023-11-12,49,2800,user96
118,2023-05-31,2023-06-08,64,4208,user4
